dataset,measure,paradigm,ari,nmi,runtime,subsample_seed,clustering_seed,perturbation_type,perturbation_level,n_original,n_sampled,series_length,k,measure_params,clustering_params
CBF,dtw,elastic,0.7707868162749476,0.7929927223650075,6.217936099999974,42,1,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,0.9836923999999954,42,1,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.25400048421810145,0.288738977539829,0.002614799999975048,42,2,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7707868162749476,0.7929927223650075,6.116113600000006,42,2,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,0.9526938999999857,42,2,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.1894232039421803,0.2572329429536217,0.0013879999999915071,42,3,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.4386040395835763,0.5040525841228015,6.038623200000018,42,3,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.598049554408974,0.604862649259335,1.0261998999999662,42,3,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.18776329739822295,0.24932177099808583,0.0010810999999932847,42,4,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7707868162749476,0.7929927223650075,6.2101667000000305,42,4,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.33341077151524784,0.3723166307944531,0.9474514999999997,42,4,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.14342035468008543,0.2533414071277991,0.0010338000000160719,42,5,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7218270190234011,0.7384346369344905,6.227296800000033,42,5,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.43407487791644056,0.4705600087598521,1.0083115999999848,42,5,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.22581772044719928,0.25565617888405506,0.0033554999999978463,42,6,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7707868162749476,0.7929927223650075,5.662449200000026,42,6,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4260312763080691,0.5941390624380891,0.937645099999969,42,6,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.26878671491004247,0.3226022688123346,0.0012260000000026139,42,7,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.19160958640358206,0.2599666711580155,6.310680500000018,42,7,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.598049554408974,0.604862649259335,0.9406971999999882,42,7,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.25400048421810145,0.28873897753982897,0.002014300000013236,42,8,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.7707868162749476,0.7929927223650075,6.050155899999993,42,8,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6182486143596568,0.6760570465467395,1.0260182999999756,42,8,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.19071752951861945,0.19913377540646973,0.0020891999999719246,42,9,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.3520008792545761,0.4131008696307381,6.326635899999985,42,9,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.4210699004696059,0.5763333847425277,0.9162073999999905,42,9,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.209771312294442,0.24582829096192432,0.0010870000000124946,42,10,noise,0.2,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.19160958640358206,0.25996667115801547,5.989607299999989,42,10,noise,0.2,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.18745699823880452,0.20302544714598575,1.1050318000000061,42,10,noise,0.2,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2666127541295859,0.3345806285144977,0.004317299999996749,42,1,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6145311591535848,0.6295358930214819,6.214457100000004,42,1,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6132894259481484,0.6706586522192037,0.976564499999995,42,1,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.190100726941259,0.21150736069579962,0.0010453000000154589,42,2,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6885343622750029,0.6880220522622648,6.149969299999981,42,2,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.6132894259481484,0.6706586522192037,1.0206675000000018,42,2,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.2155142155142155,0.29466429834092916,0.0011738999999693078,42,3,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.19328126200681695,0.28280669688079724,6.285381699999988,42,3,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,msm,elastic,0.3535070237887465,0.4226700751132931,1.031495800000016,42,3,noise,0.4,930,150,128,3,"{""c"": 1.0, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,ed,lock-step,0.20537978127758721,0.2779621095080174,0.005307799999997087,42,4,noise,0.4,930,150,128,3,,"{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
CBF,dtw,elastic,0.6885343622750029,0.6880220522622649,6.162856399999981,42,4,noise,0.4,930,150,128,3,"{""window"": 13, ""backend"": ""aeon""}","{""init"": ""random"", ""max_iter"": 300, ""method"": ""alternate""}"
